symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensgene
EXOSC2,392.7474641477704,-0.08869546680823694,0.17855561018059057,-0.4967386167173948,0.6193733867290152,0.9545896484832317,ENSG00000130713
EHD2,6910.789751222496,0.01606958643100937,0.15603279578848347,0.1029885182137808,0.9179720836331493,0.9914546871666352,ENSG00000024422
FADS3,1452.5976212761445,0.4144811187499784,0.19574468888079505,2.1174578024049984,0.03422101297485097,0.4077942117142212,ENSG00000221968
TRIM27,733.4061393116988,0.2593570382711663,0.13903097382601998,1.8654622860925902,0.06211663378929098,0.5374776774778813,ENSG00000204713
CCNB1IP1,393.8145470643167,0.15171349734771153,0.2260712090202133,0.6710872118799818,0.5021649730857453,0.9223974696731195,ENSG00000100814
PSORS1C1,58.49133632077334,0.24782427621685604,0.3551587318028574,0.6977845510339842,0.4853119420018628,0.9176068695731294,ENSG00000204540
SSR4,1102.1715962091275,0.10577766299281517,0.15084786523459465,0.7012208149469833,0.48316522177032045,0.9171901151550341,ENSG00000180879
RHBDD2,445.2450218401265,-0.3843257036394028,0.2403960255436539,-1.5987190419236466,0.10988304460612883,0.6579345442550496,ENSG00000005486
ZNF579,109.8518418568336,-0.025435624912450275,0.27724036180668893,-0.0917457499575251,0.9269000474380654,0.9929368437754134,ENSG00000218891
MFGE8,1290.1845788125308,-0.09292290211252059,0.13757401178373757,-0.6754393573881726,0.4993966674908511,0.9221485254032049,ENSG00000140545
TENM3,131.26458177290527,-0.31379358726730444,0.8422545417515054,-0.3725638411100246,0.7094730888905836,0.9703234631872192,ENSG00000218336
RPL15,11755.796032057107,-0.007660511990689783,0.11134959497021522,-0.068796945267191,0.9451512496521667,0.9948205297746222,ENSG00000174748
FAM126B,282.7375529628476,-0.5679245390125779,0.21214902132448946,-2.677007583946933,0.007428295352572898,0.18248871037924103,ENSG00000155744
DHRS12,45.38983084881954,0.16111613004807016,0.42793118692601373,0.3765000891975793,0.70654514918525,0.9703234631872192,ENSG00000102796
MSRB3,205.71273953947676,0.09796621711141829,0.2903270999042126,0.33743393966233326,0.7357898031905539,0.9736022599368351,ENSG00000174099
SPAG7,786.5743348499619,0.2744703297625051,0.13841363478048346,1.9829717657353643,0.04737058340340741,0.4785450877954628,ENSG00000091640
